#   x        RK1         RK2         RK4         Exact
   0.0000     1.000000     1.000000     1.000000     1.000000
   0.0500     0.950000     0.952500     0.952459     0.952459
   0.1000     0.905000     0.909753     0.909675     0.909675
   0.1500     0.864750     0.871528     0.871416     0.871416
   0.2000     0.829012     0.837603     0.837462     0.837462
   0.2500     0.797562     0.807770     0.807602     0.807602
   0.3000     0.770184     0.781829     0.781636     0.781636
   0.3500     0.746675     0.759590     0.759376     0.759376
   0.4000     0.726841     0.740872     0.740640     0.740640
   0.4500     0.710499     0.725505     0.725256     0.725256
   0.5000     0.697474     0.713324     0.713061     0.713061
   0.5500     0.687600     0.704174     0.703900     0.703900
   0.6000     0.680720     0.697908     0.697623     0.697623
   0.6500     0.676684     0.694385     0.694092     0.694092
   0.7000     0.675350     0.693471     0.693171     0.693171
   0.7500     0.676582     0.695040     0.694733     0.694733
   0.8000     0.680253     0.698969     0.698658     0.698658
   0.8500     0.686241     0.705144     0.704830     0.704830
   0.9000     0.694429     0.713456     0.713139     0.713139
   0.9500     0.704707     0.723800     0.723482     0.723482
   1.0000     0.716972     0.736077     0.735759     0.735759
   1.0500     0.731123     0.750193     0.749876     0.749875
   1.1000     0.747067     0.766059     0.765742     0.765742
   1.1500     0.764714     0.783589     0.783274     0.783274
   1.2000     0.783978     0.802701     0.802388     0.802388
   1.2500     0.804779     0.823320     0.823010     0.823010
   1.3000     0.827040     0.845370     0.845064     0.845064
   1.3500     0.850688     0.868783     0.868481     0.868481
   1.4000     0.875654     0.893493     0.893194     0.893194
   1.4500     0.901871     0.919435     0.919141     0.919141
   1.5000     0.929278     0.946550     0.946260     0.946260
   1.5500     0.957814     0.974781     0.974496     0.974496
   1.6000     0.987423     1.004073     1.003793     1.003793
   1.6500     1.018052     1.034374     1.034100     1.034100
   1.7000     1.049649     1.065636     1.065367     1.065367
   1.7500     1.082167     1.097811     1.097548     1.097548
   1.8000     1.115558     1.130855     1.130598     1.130598
   1.8500     1.149781     1.164726     1.164474     1.164474
   1.9000     1.184791     1.199383     1.199137     1.199137
   1.9500     1.220552     1.234788     1.234548     1.234548
   2.0000     1.257024     1.270905     1.270671     1.270671
   2.0500     1.294173     1.307698     1.307470     1.307470
   2.1000     1.331964     1.345135     1.344913     1.344913
   2.1500     1.370366     1.383185     1.382968     1.382968
   2.2000     1.409348     1.421817     1.421606     1.421606
   2.2500     1.448881     1.461004     1.460798     1.460798
   2.3000     1.488936     1.500717     1.500518     1.500518
   2.3500     1.529490     1.540932     1.540738     1.540738
   2.4000     1.570515     1.581624     1.581436     1.581436
   2.4500     1.611989     1.622770     1.622587     1.622587
   2.5000     1.653890     1.664348     1.664170     1.664170
   2.5500     1.696195     1.706336     1.706163     1.706163
   2.6000     1.738886     1.748714     1.748547     1.748547
   2.6500     1.781941     1.791465     1.791302     1.791302
   2.7000     1.825344     1.834568     1.834411     1.834411
   2.7500     1.869077     1.878008     1.877856     1.877856
   2.8000     1.913123     1.921768     1.921620     1.921620
   2.8500     1.957467     1.965831     1.965689     1.965689
   2.9000     2.002094     2.010185     2.010046     2.010046
   2.9500     2.046989     2.054813     2.054679     2.054679
